季度,產品線,產品名稱,銷售量_台,平均單價_TWD,總營收_百萬TWD,退貨率_百分比,客戶滿意度_CSAT_5分制,客訴主要問題分類,負責團隊
2026Q1,邊緣AI運算盒,BridgeBox-Pro,4200,18500,77.70,1.8%,4.6,網路配對偶發超時,硬體工程一部
2026Q1,智慧感測器模組,BridgeSense-Air,12500,2800,35.00,0.9%,4.8,韌體更新說明不夠明確,物聯網研發組
2026Q1,企業級微電網網關,BridgeGrid-X,850,95000,80.75,3.2%,4.1,Modbus協議相容性問題,綠能方案組
2026Q1,工業視覺檢測套件,BridgeVision-Lite,1600,36000,57.60,2.1%,4.4,高溫環境鏡頭對焦飄移,光電研發二組
2026Q2,邊緣AI運算盒,BridgeBox-Pro,5100,18500,94.35,1.5%,4.7,散熱風扇偶有異音,硬體工程一部
2026Q2,智慧感測器模組,BridgeSense-Air,16800,2800,47.04,0.7%,4.9,無重大異常,物聯網研發組
2026Q2,企業級微電網網關,BridgeGrid-X,1100,95000,104.50,2.8%,4.3,雲端同步偶發延遲,綠能方案組
2026Q2,工業視覺檢測套件,BridgeVision-Lite,2200,36000,79.20,1.6%,4.6,暗部辨識率需微調模型,光電研發二組
2026Q3,邊緣AI運算盒,BridgeBox-Pro,6300,18500,116.55,1.2%,4.8,外殼防塵橡膠件公差,硬體工程一部
2026Q3,智慧感測器模組,BridgeSense-Air,21000,2800,58.80,0.6%,4.9,包裝印刷批次色差,物聯網研發組
2026Q3,企業級微電網網關,BridgeGrid-X,1450,95000,137.75,2.1%,4.5,外商系統API連線認證問題,綠能方案組
2026Q3,工業視覺檢測套件,BridgeVision-Lite,2800,36000,100.80,1.3%,4.7,產線反光校正演算法待優化,光電研發二組
2026Q4,邊緣AI運算盒,BridgeBox-Pro,7800,18500,144.30,1.0%,4.9,無重大異常,硬體工程一部
2026Q4,智慧感測器模組,BridgeSense-Air,26500,2800,74.20,0.5%,5.0,無重大異常,物聯網研發組
2026Q4,企業級微電網網關,BridgeGrid-X,1900,95000,180.50,1.7%,4.6,極端氣候防潮密封需強化,綠能方案組
2026Q4,工業視覺檢測套件,BridgeVision-Lite,3500,36000,126.00,1.1%,4.8,夜間巡檢低照度微調,光電研發二組
