編號,標題,類型,狀態,建立日期,留言數,現有優先度,備註
412,結帳頁選門市自取仍計算運費,bug,open,2026-08-14,23,P1,客訴 8 件，影響營收
418,Safari 17 結帳頁版面溢出,bug,open,2026-08-19,7,P2,
421,希望支援超商取貨,feature,open,2026-08-21,41,P2,業務端多次反映
423,配送查詢 API 回應超過 3 秒,performance,open,2026-08-22,12,P1,尖峰時段惡化
427,文件：AGENTS.md 缺少 e2e 測試說明,docs,open,2026-08-25,2,P3,
430,移除 moment.js 相依,tech-debt,open,2026-08-27,5,P3,包體積 -180KB
431,登入後偶爾跳回首頁,bug,open,2026-08-28,18,P1,無法穩定重現
433,後台匯出 CSV 中文亂碼,bug,open,2026-08-29,9,P2,缺 BOM
435,新增深色模式,feature,open,2026-09-01,33,P3,
436,訂單編號在通知信中顯示為 undefined,bug,open,2026-09-02,15,P1,
438,升級 Node.js 22,chore,open,2026-09-03,1,P3,
439,地址自動補完會蓋掉使用者手動輸入,bug,open,2026-09-04,11,P2,
